"","age","gender","lg","id","vowel","step","target","response","RT"
"3867",19,"Female","Mandarin","71Mandarin","[y]",6,0,1,469.2
"3868",19,"Female","Mandarin","71Mandarin","[ʉ]",2,0,1,523.5
"3869",19,"Female","Mandarin","71Mandarin","[y]",3,0,1,497.7
"3876",19,"Female","Mandarin","71Mandarin","[ʉ]",4,0,1,464.2
"3877",19,"Female","Mandarin","71Mandarin","[ʉ]",0,0,0,424.5
"3879",19,"Female","Mandarin","71Mandarin","[ʉ]",5,0,1,502.1
"3888",19,"Female","Mandarin","71Mandarin","[i]",1,0,0,400.9
"3891",19,"Female","Mandarin","79Mandarin","[ʉ]",3,0,0,375.5
"3897",19,"Female","Mandarin","79Mandarin","[i]",1,0,0,381.5
"3904",19,"Female","Mandarin","79Mandarin","[y]",2,0,0,864
"3906",19,"Female","Mandarin","79Mandarin","[ʉ]",8,0,1,360.2
"3909",19,"Female","Mandarin","79Mandarin","[ʉ]",7,0,1,410.4
"3912",19,"Female","Mandarin","79Mandarin","[ʉ]",0,0,0,196
"3936",19,"Female","Mandarin","79Mandarin","[y]",0,0,0,240.7
"3939",19,"Female","Mandarin","79Mandarin","[ʉ]",6,0,1,396.6
"3953",19,"Female","Mandarin","79Mandarin","[y]",1,0,0,969.8
"3969",19,"Female","Mandarin","79Mandarin","[ʉ]",1,0,0,266.2
"3971",19,"Female","Mandarin","79Mandarin","[i]",5,0,1,878.6
"3972",19,"Female","Mandarin","79Mandarin","[y]",5,0,1,388
"3982",19,"Female","Mandarin","79Mandarin","[u]",0,0,0,248.5
"3983",19,"Female","Mandarin","79Mandarin","[ʉ]",4,0,0,914.4
"3986",19,"Female","Mandarin","79Mandarin","[i]",6,0,1,444.3
"3987",19,"Female","Mandarin","79Mandarin","[i]",4,0,1,518.1
"3992",19,"Female","Mandarin","79Mandarin","[ʉ]",0,0,0,130.2
"3993",19,"Female","Mandarin","79Mandarin","[y]",0,0,0,95.6
"3994",19,"Female","Mandarin","79Mandarin","[i]",0,0,0,101.2
"3996",19,"Female","Mandarin","79Mandarin","[i]",7,0,1,344.4
"3997",19,"Female","Mandarin","79Mandarin","[i]",8,0,1,445.6
"3998",19,"Female","Mandarin","79Mandarin","[y]",3,0,0,225.6
"4001",19,"Female","Mandarin","79Mandarin","[i]",3,0,1,711.6
"4008",19,"Female","Mandarin","79Mandarin","[ʉ]",2,0,0,866.8
"4012",19,"Female","Mandarin","79Mandarin","[i]",0,0,0,234
"4016",19,"Female","Mandarin","79Mandarin","[u]",0,0,0,141.4
"4017",19,"Female","Mandarin","79Mandarin","[i]",2,0,0,216
"4019",19,"Female","Mandarin","79Mandarin","[ʉ]",5,0,0,1112.8
"4024",19,"Female","Mandarin","79Mandarin","[y]",6,0,1,286.8
"4030",19,"Female","Mandarin","79Mandarin","[y]",4,0,1,338.2
"4044",21.5,"Female","Italian","83Italian","[y]",1,0,0,537.6
"4048",21.5,"Female","Italian","83Italian","[y]",4,0,1,655.2
"4053",21.5,"Female","Italian","83Italian","[y]",0,0,0,443.6
"4056",21.5,"Female","Italian","83Italian","[ʉ]",7,0,1,909.1
"4072",21.5,"Female","Italian","83Italian","[y]",6,0,1,435.8
"4085",21.5,"Female","Italian","83Italian","[ʉ]",0,0,0,494.9
"4089",21.5,"Female","Italian","83Italian","[i]",3,0,0,377.3
"4091",21.5,"Female","Italian","83Italian","[i]",8,0,1,433.3
"4095",21.5,"Female","Italian","83Italian","[i]",4,0,0,365.8
"4097",21.5,"Female","Italian","83Italian","[i]",1,0,0,333.6
"4100",21.5,"Female","Italian","83Italian","[ʉ]",1,0,0,419
"4105",21.5,"Female","Italian","83Italian","[ʉ]",5,0,1,696.8
"4110",21.5,"Female","Italian","83Italian","[ʉ]",8,0,1,443.8
"4118",21.5,"Female","Italian","83Italian","[i]",0,0,0,416.9
"4119",21.5,"Female","Italian","83Italian","[ʉ]",6,0,1,480
"4121",21.5,"Female","Italian","83Italian","[i]",0,0,0,335.4
"4125",21.5,"Female","Italian","83Italian","[ʉ]",4,0,1,377.3
"4128",21.5,"Female","Italian","83Italian","[i]",2,0,0,359.5
"4131",21.5,"Female","Italian","83Italian","[y]",0,0,0,391.1
"4135",21.5,"Female","Italian","83Italian","[u]",0,0,0,541.5
"4138",21.5,"Female","Italian","83Italian","[i]",5,0,1,486.1
"4140",21.5,"Female","Italian","83Italian","[ʉ]",3,0,0,543.1
"4145",21.5,"Female","Italian","83Italian","[i]",6,0,1,447
"4149",21.5,"Female","Italian","83Italian","[u]",0,0,0,682.1
"4152",21.5,"Female","Italian","83Italian","[y]",5,0,1,517.7
"4157",21.5,"Female","Italian","83Italian","[ʉ]",0,0,0,344.3
"4158",21.5,"Female","Italian","83Italian","[y]",3,0,1,356.9
"4163",21.5,"Female","Italian","83Italian","[ʉ]",2,0,0,420.8
"4164",21.5,"Female","Italian","83Italian","[i]",7,0,1,507.7
"4171",21.5,"Female","Italian","83Italian","[y]",2,0,1,376.8
"4178",35.5,"Female","Italian","68Italian","[i]",7,0,1,845.8
"4182",35.5,"Female","Italian","68Italian","[ʉ]",3,0,0,753.2
"4189",35.5,"Female","Italian","68Italian","[y]",5,0,1,815.6
"4200",35.5,"Female","Italian","68Italian","[u]",0,0,0,796
"4210",35.5,"Female","Italian","68Italian","[i]",4,0,1,670.4
"4214",35.5,"Female","Italian","68Italian","[y]",0,0,1,204.3
"4223",35.5,"Female","Italian","68Italian","[i]",2,0,1,934.3
"4224",35.5,"Female","Italian","68Italian","[y]",6,0,1,630.3
"4229",35.5,"Female","Italian","68Italian","[y]",3,0,1,574.9
"4232",35.5,"Female","Italian","68Italian","[i]",6,0,1,652.1
"4242",35.5,"Female","Italian","68Italian","[i]",8,0,1,730.7
"4243",35.5,"Female","Italian","68Italian","[i]",0,0,0,535.4
"4244",35.5,"Female","Italian","68Italian","[ʉ]",1,0,0,536.5
"4245",35.5,"Female","Italian","68Italian","[i]",5,0,1,546.8
"4246",35.5,"Female","Italian","68Italian","[y]",4,0,1,696.6
"4249",35.5,"Female","Italian","68Italian","[u]",0,0,0,551.9
"4252",35.5,"Female","Italian","68Italian","[ʉ]",5,0,0,605.2
"4253",35.5,"Female","Italian","68Italian","[i]",1,0,0,808.4
"4254",35.5,"Female","Italian","68Italian","[ʉ]",6,0,1,993
"4258",35.5,"Female","Italian","68Italian","[ʉ]",0,0,0,450.2
"4261",35.5,"Female","Italian","68Italian","[ʉ]",0,0,0,590.8
"4266",35.5,"Female","Italian","68Italian","[y]",2,0,0,609.9
"4269",35.5,"Female","Italian","68Italian","[ʉ]",2,0,1,619.5
"4272",35.5,"Female","Italian","68Italian","[ʉ]",8,0,1,662.4
"4275",35.5,"Female","Italian","68Italian","[ʉ]",7,0,1,510.6
"4277",35.5,"Female","Italian","68Italian","[i]",3,0,1,1039.8
"4297",35.5,"Female","Italian","68Italian","[ʉ]",4,0,1,649.3
"4302",35.5,"Female","Italian","68Italian","[i]",0,0,0,643.8
"4305",35.5,"Female","Italian","68Italian","[y]",0,0,0,441.7
"4310",35.5,"Female","Italian","68Italian","[y]",1,0,0,508.6
"4326",21.5,"Male","Italian","43Italian","[ʉ]",0,0,0,386.8
"4327",21.5,"Male","Italian","43Italian","[ʉ]",2,0,1,390.9
"4341",21.5,"Male","Italian","43Italian","[y]",4,0,1,330.9
"4349",21.5,"Male","Italian","43Italian","[i]",4,0,0,297.5
"4357",21.5,"Male","Italian","43Italian","[y]",0,0,0,213.5
"4359",21.5,"Male","Italian","43Italian","[y]",0,0,0,117.1
"4360",21.5,"Male","Italian","43Italian","[ʉ]",4,0,1,409.9
"4369",21.5,"Male","Italian","43Italian","[y]",1,0,0,369
"4373",21.5,"Male","Italian","43Italian","[ʉ]",6,0,1,357.4
"4383",21.5,"Male","Italian","43Italian","[y]",6,0,1,484.2
"4384",21.5,"Male","Italian","43Italian","[ʉ]",5,0,0,453.1
"4388",21.5,"Male","Italian","43Italian","[i]",5,0,1,387.1
"4392",21.5,"Male","Italian","43Italian","[u]",0,0,0,203.5
"4394",21.5,"Male","Italian","43Italian","[u]",0,0,0,319
"4397",21.5,"Male","Italian","43Italian","[i]",0,0,0,307.4
"4402",21.5,"Male","Italian","43Italian","[i]",6,0,1,1051.4
"4410",21.5,"Male","Italian","43Italian","[i]",0,0,0,94.5
"4413",21.5,"Male","Italian","43Italian","[y]",5,0,1,397
"4414",21.5,"Male","Italian","43Italian","[y]",2,0,0,867.7
"4415",21.5,"Male","Italian","43Italian","[ʉ]",7,0,1,412.6
"4421",21.5,"Male","Italian","43Italian","[y]",3,0,0,261.5
"4422",21.5,"Male","Italian","43Italian","[i]",3,0,1,346.5
"4428",21.5,"Male","Italian","43Italian","[i]",7,0,1,258.9
"4432",21.5,"Male","Italian","43Italian","[i]",2,0,1,366
"4433",21.5,"Male","Italian","43Italian","[i]",8,0,1,356.5
"4441",21.5,"Male","Italian","43Italian","[ʉ]",3,0,0,1042.1
"4445",21.5,"Male","Italian","43Italian","[i]",1,0,1,403.3
"4454",21.5,"Male","Italian","43Italian","[ʉ]",0,0,0,343.7
"4460",21.5,"Male","Italian","43Italian","[ʉ]",1,0,0,351.6
"4462",21.5,"Male","Italian","43Italian","[ʉ]",8,0,1,421.2
"4476",21.5,"Female","Italian","86Italian","[ʉ]",4,0,0,174.4
"4481",21.5,"Female","Italian","86Italian","[y]",6,0,1,459.1
"4486",21.5,"Female","Italian","86Italian","[ʉ]",0,0,0,340.1
"4495",21.5,"Female","Italian","86Italian","[i]",0,0,0,306.1
"4501",21.5,"Female","Italian","86Italian","[i]",7,0,1,382
"4504",21.5,"Female","Italian","86Italian","[ʉ]",2,0,0,1066.4
"4506",21.5,"Female","Italian","86Italian","[i]",4,0,0,576.5
"4518",21.5,"Female","Italian","86Italian","[y]",0,0,0,97.6
"4522",21.5,"Female","Italian","86Italian","[ʉ]",8,0,1,890.3
"4535",21.5,"Female","Italian","86Italian","[y]",4,0,1,348.1
"4539",21.5,"Female","Italian","86Italian","[i]",8,0,1,624.8
"4544",21.5,"Female","Italian","86Italian","[u]",0,0,0,951
"4547",21.5,"Female","Italian","86Italian","[y]",0,0,0,616
"4548",21.5,"Female","Italian","86Italian","[i]",0,0,0,950
"4550",21.5,"Female","Italian","86Italian","[ʉ]",5,0,1,662.6
"4554",21.5,"Female","Italian","86Italian","[y]",2,0,1,601.6
"4560",21.5,"Female","Italian","86Italian","[y]",3,0,1,167.8
"4568",21.5,"Female","Italian","86Italian","[y]",5,0,1,692.2
"4569",21.5,"Female","Italian","86Italian","[i]",5,0,1,500.4
"4571",21.5,"Female","Italian","86Italian","[ʉ]",6,0,1,868.4
"4576",21.5,"Female","Italian","86Italian","[u]",0,0,0,615.3
"4577",21.5,"Female","Italian","86Italian","[ʉ]",1,0,0,511.9
"4578",21.5,"Female","Italian","86Italian","[ʉ]",0,0,0,629.9
"4580",21.5,"Female","Italian","86Italian","[i]",1,0,0,154.7
"4582",21.5,"Female","Italian","86Italian","[ʉ]",7,0,1,487.5
"4586",21.5,"Female","Italian","86Italian","[i]",2,0,0,101.9
"4589",21.5,"Female","Italian","86Italian","[ʉ]",3,0,1,974.6
"4591",21.5,"Female","Italian","86Italian","[y]",1,0,0,661.1
"4595",21.5,"Female","Italian","86Italian","[i]",6,0,1,1071.2
"4599",21.5,"Female","Italian","86Italian","[i]",3,0,0,842.3
"4609",35.5,"Female","Italian","23Italian","[i]",1,0,0,617.3
"4611",35.5,"Female","Italian","23Italian","[y]",0,0,0,491.6
"4612",35.5,"Female","Italian","23Italian","[i]",6,0,1,363.4
"4613",35.5,"Female","Italian","23Italian","[y]",5,0,1,365.3
"4623",35.5,"Female","Italian","23Italian","[i]",8,0,0,424
"4627",35.5,"Female","Italian","23Italian","[y]",1,0,0,384.7
"4630",35.5,"Female","Italian","23Italian","[ʉ]",0,0,0,544.1
"4638",35.5,"Female","Italian","23Italian","[y]",4,0,1,552.3
"4640",35.5,"Female","Italian","23Italian","[y]",3,0,1,430.8
"4645",35.5,"Female","Italian","23Italian","[i]",7,0,1,601
"4650",35.5,"Female","Italian","23Italian","[y]",6,0,1,548.2
"4654",35.5,"Female","Italian","23Italian","[u]",0,0,0,374.6
"4662",35.5,"Female","Italian","23Italian","[ʉ]",2,0,1,132.6
"4666",35.5,"Female","Italian","23Italian","[ʉ]",6,0,1,682.7
"4667",35.5,"Female","Italian","23Italian","[ʉ]",0,0,0,431.6
"4668",35.5,"Female","Italian","23Italian","[i]",0,0,0,336.8
"4673",35.5,"Female","Italian","23Italian","[i]",3,0,0,421.9
"4676",35.5,"Female","Italian","23Italian","[i]",4,0,1,346.1
"4680",35.5,"Female","Italian","23Italian","[y]",0,0,0,386.6
"4681",35.5,"Female","Italian","23Italian","[i]",2,0,0,966
"4685",35.5,"Female","Italian","23Italian","[y]",2,0,0,437.9
"4699",35.5,"Female","Italian","23Italian","[ʉ]",3,0,1,579.6
"4702",35.5,"Female","Italian","23Italian","[ʉ]",1,0,0,457.6
"4709",35.5,"Female","Italian","23Italian","[i]",0,0,0,342
"4714",35.5,"Female","Italian","23Italian","[ʉ]",5,0,1,393.6
"4716",35.5,"Female","Italian","23Italian","[ʉ]",8,0,1,486.6
"4718",35.5,"Female","Italian","23Italian","[ʉ]",4,0,1,397.2
"4728",35.5,"Female","Italian","23Italian","[i]",5,0,1,394.4
"4740",35.5,"Female","Italian","23Italian","[u]",0,0,0,436.6
"4741",35.5,"Female","Italian","23Italian","[ʉ]",7,0,1,595.6
"4754",35.5,"Male","Italian","22Italian","[y]",3,0,0,1065.7
"4759",35.5,"Male","Italian","22Italian","[ʉ]",2,0,0,231.7
"4762",35.5,"Male","Italian","22Italian","[y]",5,0,1,621.1
"4788",35.5,"Male","Italian","22Italian","[u]",0,0,0,486.5
"4790",35.5,"Male","Italian","22Italian","[ʉ]",3,0,1,254.6
"4793",35.5,"Male","Italian","22Italian","[ʉ]",8,0,1,458.7
"4796",35.5,"Male","Italian","22Italian","[y]",0,0,0,634.5
"4798",35.5,"Male","Italian","22Italian","[ʉ]",0,0,0,497.5
"4799",35.5,"Male","Italian","22Italian","[y]",2,0,0,573
"4808",35.5,"Male","Italian","22Italian","[ʉ]",4,0,1,427.2
"4811",35.5,"Male","Italian","22Italian","[ʉ]",1,0,0,401.1
"4813",35.5,"Male","Italian","22Italian","[y]",4,0,1,621
"4817",35.5,"Male","Italian","22Italian","[i]",0,0,0,326.6
"4824",35.5,"Male","Italian","22Italian","[i]",7,0,1,611.6
"4829",35.5,"Male","Italian","22Italian","[y]",6,0,1,425.9
"4832",35.5,"Male","Italian","22Italian","[ʉ]",0,0,0,351.8
"4838",35.5,"Male","Italian","22Italian","[i]",2,0,0,344.7
"4843",35.5,"Male","Italian","22Italian","[i]",3,0,0,362.6
"4847",35.5,"Male","Italian","22Italian","[ʉ]",7,0,1,441.1
"4848",35.5,"Male","Italian","22Italian","[i]",5,0,0,504.4
"4864",35.5,"Male","Italian","22Italian","[ʉ]",6,0,0,522.8
"4869",35.5,"Male","Italian","22Italian","[y]",0,0,0,319.1
"4872",35.5,"Male","Italian","22Italian","[i]",0,0,0,458.4
"4875",35.5,"Male","Italian","22Italian","[i]",6,0,1,429.5
"4877",35.5,"Male","Italian","22Italian","[i]",8,0,1,413.2
"4878",35.5,"Male","Italian","22Italian","[i]",1,0,0,284.2
"4881",35.5,"Male","Italian","22Italian","[ʉ]",5,0,1,715
"4883",35.5,"Male","Italian","22Italian","[i]",4,0,1,354.6
"4889",35.5,"Male","Italian","22Italian","[y]",1,0,0,361
"4895",35.5,"Male","Italian","22Italian","[u]",0,0,0,335.4
"4900",21.5,"Female","Italian","34Italian","[y]",6,0,1,545.7
"4906",21.5,"Female","Italian","34Italian","[y]",2,0,0,421.9
"4907",21.5,"Female","Italian","34Italian","[i]",4,0,1,256.5
"4919",21.5,"Female","Italian","34Italian","[i]",5,0,1,616
"4920",21.5,"Female","Italian","34Italian","[ʉ]",0,0,0,466.2
"4928",21.5,"Female","Italian","34Italian","[ʉ]",8,0,1,503.1
"4929",21.5,"Female","Italian","34Italian","[u]",0,0,0,232.2
"4942",21.5,"Female","Italian","34Italian","[i]",7,0,0,157
"4943",21.5,"Female","Italian","34Italian","[y]",3,0,1,432.9
"4947",21.5,"Female","Italian","34Italian","[u]",0,0,0,540.9
"4948",21.5,"Female","Italian","34Italian","[i]",0,0,0,486.5
"4951",21.5,"Female","Italian","34Italian","[i]",0,0,0,344.6
"4974",21.5,"Female","Italian","34Italian","[y]",0,0,0,543.9
"4976",21.5,"Female","Italian","34Italian","[ʉ]",5,0,1,624.6
"4977",21.5,"Female","Italian","34Italian","[i]",1,0,0,313.9
"4988",21.5,"Female","Italian","34Italian","[y]",1,0,0,405.6
"4989",21.5,"Female","Italian","34Italian","[i]",3,0,1,136.4
"4991",21.5,"Female","Italian","34Italian","[y]",0,0,0,465.1
"4992",21.5,"Female","Italian","34Italian","[ʉ]",6,0,1,567.1
"4994",21.5,"Female","Italian","34Italian","[ʉ]",7,0,1,510.9
"5004",21.5,"Female","Italian","34Italian","[ʉ]",0,0,0,462.8
"5005",21.5,"Female","Italian","34Italian","[i]",8,0,1,528.5
"5009",21.5,"Female","Italian","34Italian","[i]",2,0,0,372.2
"5015",21.5,"Female","Italian","34Italian","[y]",5,0,1,510.8
"5025",21.5,"Female","Italian","34Italian","[ʉ]",3,0,0,468.8
"5026",21.5,"Female","Italian","34Italian","[y]",4,0,1,219.9
"5030",21.5,"Female","Italian","34Italian","[i]",6,0,1,476.4
"5033",21.5,"Female","Italian","34Italian","[ʉ]",2,0,0,610.7
"5037",21.5,"Female","Italian","34Italian","[ʉ]",4,0,1,706.1
"5040",21.5,"Female","Italian","34Italian","[ʉ]",1,0,0,276.3
"5042",21.5,"Female","Italian","35Italian","[ʉ]",7,0,1,521.5
"5043",21.5,"Female","Italian","35Italian","[ʉ]",6,0,1,684.5
"5046",21.5,"Female","Italian","35Italian","[y]",6,0,1,439.1
"5048",21.5,"Female","Italian","35Italian","[ʉ]",1,0,0,661.8
"5064",21.5,"Female","Italian","35Italian","[i]",5,0,0,700.3
"5067",21.5,"Female","Italian","35Italian","[i]",0,0,0,344.8
"5073",21.5,"Female","Italian","35Italian","[i]",2,0,0,340.5
"5078",21.5,"Female","Italian","35Italian","[ʉ]",0,0,0,346.3
"5079",21.5,"Female","Italian","35Italian","[u]",0,0,0,363.3
"5082",21.5,"Female","Italian","35Italian","[y]",5,0,1,467.8
"5085",21.5,"Female","Italian","35Italian","[i]",1,0,0,355.1
"5088",21.5,"Female","Italian","35Italian","[y]",1,0,0,317.6
"5089",21.5,"Female","Italian","35Italian","[ʉ]",4,0,0,714.7
"5095",21.5,"Female","Italian","35Italian","[i]",0,0,0,346.3
"5098",21.5,"Female","Italian","35Italian","[i]",7,0,0,591.5
"5111",21.5,"Female","Italian","35Italian","[i]",4,0,1,415.1
"5113",21.5,"Female","Italian","35Italian","[i]",8,0,1,418.9
"5121",21.5,"Female","Italian","35Italian","[u]",0,0,0,453.4
"5129",21.5,"Female","Italian","35Italian","[y]",0,0,0,357.8
"5135",21.5,"Female","Italian","35Italian","[ʉ]",8,0,1,486.4
"5150",21.5,"Female","Italian","35Italian","[ʉ]",0,0,0,608.1
"5151",21.5,"Female","Italian","35Italian","[i]",3,0,0,361.2
"5156",21.5,"Female","Italian","35Italian","[i]",6,0,1,878.6
"5166",21.5,"Female","Italian","35Italian","[y]",4,0,1,408.3
"5168",21.5,"Female","Italian","35Italian","[ʉ]",2,0,0,266.3
"5169",21.5,"Female","Italian","35Italian","[y]",3,0,1,623
"5178",21.5,"Female","Italian","35Italian","[y]",0,0,0,356.2
"5182",21.5,"Female","Italian","35Italian","[ʉ]",3,0,0,422.8
"5183",21.5,"Female","Italian","35Italian","[ʉ]",5,0,0,498.8
"5184",21.5,"Female","Italian","35Italian","[y]",2,0,0,398.5
"5185",21.5,"Male","Italian","25Italian","[y]",4,0,1,941
"5195",21.5,"Male","Italian","25Italian","[i]",6,0,1,420
"5200",21.5,"Male","Italian","25Italian","[ʉ]",2,0,0,178
"5201",21.5,"Male","Italian","25Italian","[i]",0,0,0,355
"5208",21.5,"Male","Italian","25Italian","[y]",0,0,0,445
"5212",21.5,"Male","Italian","25Italian","[ʉ]",4,0,0,419
"5214",21.5,"Male","Italian","25Italian","[ʉ]",1,0,0,423
"5221",21.5,"Male","Italian","25Italian","[i]",0,0,0,1008
"5224",21.5,"Male","Italian","25Italian","[i]",8,0,1,359
"5233",21.5,"Male","Italian","25Italian","[i]",7,0,1,450
"5234",21.5,"Male","Italian","25Italian","[ʉ]",8,0,1,459
"5242",21.5,"Male","Italian","25Italian","[y]",6,0,1,201
"5249",21.5,"Male","Italian","25Italian","[i]",2,0,0,911
"5250",21.5,"Male","Italian","25Italian","[ʉ]",0,0,0,396
"5260",21.5,"Male","Italian","25Italian","[y]",5,0,1,452
"5266",21.5,"Male","Italian","25Italian","[i]",3,0,1,272
"5268",21.5,"Male","Italian","25Italian","[u]",0,0,0,264
"5274",21.5,"Male","Italian","25Italian","[y]",0,0,0,398
"5276",21.5,"Male","Italian","25Italian","[y]",2,0,0,446
"5278",21.5,"Male","Italian","25Italian","[u]",0,0,0,423
"5279",21.5,"Male","Italian","25Italian","[i]",1,0,0,1011
"5282",21.5,"Male","Italian","25Italian","[ʉ]",3,0,0,627
"5286",21.5,"Male","Italian","25Italian","[i]",4,0,1,147
"5289",21.5,"Male","Italian","25Italian","[i]",5,0,1,393
"5292",21.5,"Male","Italian","25Italian","[ʉ]",6,0,1,919
"5300",21.5,"Male","Italian","25Italian","[y]",1,0,0,390
"5302",21.5,"Male","Italian","25Italian","[y]",3,0,1,433
"5305",21.5,"Male","Italian","25Italian","[ʉ]",5,0,0,717
"5313",21.5,"Male","Italian","25Italian","[ʉ]",0,0,0,440
"5324",21.5,"Male","Italian","25Italian","[ʉ]",7,0,1,454
"5335",21.5,"Female","Italian","19Italian","[ʉ]",4,0,1,531
"5340",21.5,"Female","Italian","19Italian","[ʉ]",6,0,1,179.5
"5341",21.5,"Female","Italian","19Italian","[y]",3,0,0,442.8
"5354",21.5,"Female","Italian","19Italian","[ʉ]",1,0,0,872
"5356",21.5,"Female","Italian","19Italian","[i]",1,0,0,489.5
"5360",21.5,"Female","Italian","19Italian","[i]",2,0,0,137.6
"5367",21.5,"Female","Italian","19Italian","[i]",3,0,1,430.8
"5370",21.5,"Female","Italian","19Italian","[ʉ]",2,0,1,660
"5375",21.5,"Female","Italian","19Italian","[i]",0,0,0,1007
"5380",21.5,"Female","Italian","19Italian","[y]",1,0,0,700.6
"5384",21.5,"Female","Italian","19Italian","[ʉ]",5,0,1,682.5
"5388",21.5,"Female","Italian","19Italian","[i]",7,0,1,505.2
"5389",21.5,"Female","Italian","19Italian","[ʉ]",0,0,0,586.3
"5390",21.5,"Female","Italian","19Italian","[ʉ]",3,0,1,593
"5391",21.5,"Female","Italian","19Italian","[i]",6,0,1,420.4
"5411",21.5,"Female","Italian","19Italian","[i]",4,0,1,368.9
"5415",21.5,"Female","Italian","19Italian","[y]",0,0,0,99.3
"5416",21.5,"Female","Italian","19Italian","[ʉ]",0,0,0,557.1
"5419",21.5,"Female","Italian","19Italian","[y]",0,0,1,589
"5421",21.5,"Female","Italian","19Italian","[i]",5,0,1,947
"5432",21.5,"Female","Italian","19Italian","[ʉ]",8,0,0,517.8
"5435",21.5,"Female","Italian","19Italian","[i]",8,0,1,461
"5437",21.5,"Female","Italian","19Italian","[i]",0,0,0,380.3
"5438",21.5,"Female","Italian","19Italian","[y]",4,0,0,656.2
"5440",21.5,"Female","Italian","19Italian","[y]",5,0,0,680.8
"5443",21.5,"Female","Italian","19Italian","[ʉ]",7,0,1,720.9
"5451",21.5,"Female","Italian","19Italian","[u]",0,0,0,416.5
"5459",21.5,"Female","Italian","19Italian","[u]",0,0,0,652.6
"5462",21.5,"Female","Italian","19Italian","[y]",6,0,1,941.8
"5465",21.5,"Female","Italian","19Italian","[y]",2,0,1,679.8
"5477",35.5,"Female","Italian","18Italian","[ʉ]",2,0,0,1017
"5481",35.5,"Female","Italian","18Italian","[i]",8,0,1,426.8
"5488",35.5,"Female","Italian","18Italian","[i]",6,0,1,411.6
"5494",35.5,"Female","Italian","18Italian","[i]",4,0,1,385.2
"5504",35.5,"Female","Italian","18Italian","[i]",2,0,1,387.7
"5509",35.5,"Female","Italian","18Italian","[y]",0,0,0,466.2
"5512",35.5,"Female","Italian","18Italian","[y]",0,0,0,437.1
"5520",35.5,"Female","Italian","18Italian","[y]",6,0,1,461.9
"5521",35.5,"Female","Italian","18Italian","[ʉ]",1,0,0,642.3
"5522",35.5,"Female","Italian","18Italian","[ʉ]",6,0,1,822.3
"5523",35.5,"Female","Italian","18Italian","[ʉ]",0,0,0,593.3
"5528",35.5,"Female","Italian","18Italian","[u]",0,0,0,466.5
"5531",35.5,"Female","Italian","18Italian","[y]",3,0,1,500.7
"5532",35.5,"Female","Italian","18Italian","[ʉ]",5,0,1,625.3
"5534",35.5,"Female","Italian","18Italian","[y]",5,0,1,511.2
"5542",35.5,"Female","Italian","18Italian","[y]",2,0,0,407.7
"5543",35.5,"Female","Italian","18Italian","[ʉ]",4,0,0,441
"5549",35.5,"Female","Italian","18Italian","[i]",0,0,0,335.2
"5555",35.5,"Female","Italian","18Italian","[i]",1,0,0,517.9
"5569",35.5,"Female","Italian","18Italian","[i]",3,0,1,369.6
"5570",35.5,"Female","Italian","18Italian","[i]",7,0,1,223.7
"5571",35.5,"Female","Italian","18Italian","[u]",0,0,0,385.3
"5575",35.5,"Female","Italian","18Italian","[y]",1,0,0,482.3
"5587",35.5,"Female","Italian","18Italian","[ʉ]",0,0,0,967.2
"5588",35.5,"Female","Italian","18Italian","[y]",4,0,0,636
"5590",35.5,"Female","Italian","18Italian","[ʉ]",3,0,0,794.6
"5595",35.5,"Female","Italian","18Italian","[ʉ]",8,0,1,378.7
"5599",35.5,"Female","Italian","18Italian","[ʉ]",7,0,1,588.5
"5602",35.5,"Female","Italian","18Italian","[i]",5,0,1,555.8
"5604",35.5,"Female","Italian","18Italian","[i]",0,0,0,233.8
"5618",21.5,"Male","Italian","26Italian","[ʉ]",8,0,1,217.4
"5619",21.5,"Male","Italian","26Italian","[u]",0,0,0,309.7
"5622",21.5,"Male","Italian","26Italian","[ʉ]",1,0,0,560.4
"5624",21.5,"Male","Italian","26Italian","[y]",6,0,1,443
"5628",21.5,"Male","Italian","26Italian","[ʉ]",2,0,0,451.9
"5637",21.5,"Male","Italian","26Italian","[i]",7,0,1,384.9
"5639",21.5,"Male","Italian","26Italian","[ʉ]",6,0,1,411.9
"5651",21.5,"Male","Italian","26Italian","[ʉ]",0,0,0,117.7
"5654",21.5,"Male","Italian","26Italian","[ʉ]",4,0,1,515.1
"5657",21.5,"Male","Italian","26Italian","[ʉ]",7,0,1,260.8
"5658",21.5,"Male","Italian","26Italian","[y]",2,0,0,683.4
"5666",21.5,"Male","Italian","26Italian","[y]",4,0,1,388.3
"5691",21.5,"Male","Italian","26Italian","[y]",3,0,1,396.2
"5697",21.5,"Male","Italian","26Italian","[ʉ]",3,0,1,402
"5699",21.5,"Male","Italian","26Italian","[i]",3,0,1,357.1
"5704",21.5,"Male","Italian","26Italian","[y]",0,0,1,386.7
"5705",21.5,"Male","Italian","26Italian","[y]",5,0,0,418.9
"5708",21.5,"Male","Italian","26Italian","[y]",0,0,0,362.1
"5711",21.5,"Male","Italian","26Italian","[i]",5,0,1,347.5
"5713",21.5,"Male","Italian","26Italian","[ʉ]",0,0,0,594.5
"5719",21.5,"Male","Italian","26Italian","[y]",1,0,0,307.6
"5720",21.5,"Male","Italian","26Italian","[i]",0,0,0,148.9
