"","age","gender","lg","id","vowel","step","target","response","RT"
"416",22,"Female","Mandarin","40Mandarin","[i]",1,0,0,485.3
"422",22,"Female","Mandarin","40Mandarin","[ʉ]",7,0,1,491.4
"427",22,"Female","Mandarin","40Mandarin","[y]",6,0,1,390.8
"428",22,"Female","Mandarin","40Mandarin","[y]",1,0,0,628
"453",25,"Male","Mandarin","43Mandarin","[y]",2,0,1,314
"457",25,"Male","Mandarin","43Mandarin","[y]",6,0,1,277
"463",25,"Male","Mandarin","43Mandarin","[y]",1,0,0,391.2
"467",25,"Male","Mandarin","43Mandarin","[ʉ]",1,0,0,361.8
"470",25,"Male","Mandarin","43Mandarin","[u]",0,0,0,323.5
"477",25,"Male","Mandarin","43Mandarin","[y]",5,0,1,325
"478",25,"Male","Mandarin","43Mandarin","[i]",0,0,0,230.9
"482",25,"Male","Mandarin","43Mandarin","[ʉ]",8,0,1,466.5
"483",25,"Male","Mandarin","43Mandarin","[y]",0,0,0,417.6
"496",25,"Male","Mandarin","43Mandarin","[i]",3,0,1,433.5
"497",25,"Male","Mandarin","43Mandarin","[y]",4,0,1,395.7
"499",25,"Male","Mandarin","43Mandarin","[i]",4,0,1,341.2
"502",25,"Male","Mandarin","43Mandarin","[ʉ]",3,0,1,391.2
"503",25,"Male","Mandarin","43Mandarin","[i]",0,0,0,435.1
"505",25,"Male","Mandarin","43Mandarin","[ʉ]",5,0,1,688.1
"506",25,"Male","Mandarin","43Mandarin","[ʉ]",2,0,1,799.2
"516",25,"Male","Mandarin","43Mandarin","[ʉ]",4,0,1,402.2
"523",25,"Male","Mandarin","43Mandarin","[ʉ]",7,0,1,443.2
"527",25,"Male","Mandarin","43Mandarin","[ʉ]",0,0,0,371.8
"532",25,"Male","Mandarin","43Mandarin","[i]",6,0,1,423.4
"546",25,"Male","Mandarin","43Mandarin","[i]",5,0,1,323.8
"547",25,"Male","Mandarin","43Mandarin","[y]",0,0,0,342.9
"549",25,"Male","Mandarin","43Mandarin","[i]",8,0,1,370
"551",25,"Male","Mandarin","43Mandarin","[i]",7,0,1,467.3
"553",25,"Male","Mandarin","43Mandarin","[ʉ]",6,0,1,382
"560",25,"Male","Mandarin","43Mandarin","[i]",1,0,0,337.4
"568",25,"Male","Mandarin","43Mandarin","[ʉ]",0,0,0,393
"569",25,"Male","Mandarin","43Mandarin","[y]",3,0,1,390.6
"571",25,"Male","Mandarin","43Mandarin","[u]",0,0,0,319.9
"576",25,"Male","Mandarin","43Mandarin","[i]",2,0,1,314.1
"577",25,"Male","Mandarin","5Mandarin","[ʉ]",5,0,1,624.7
"585",25,"Male","Mandarin","5Mandarin","[ʉ]",0,0,0,369.9
"592",25,"Male","Mandarin","5Mandarin","[i]",0,0,0,322.3
"595",25,"Male","Mandarin","5Mandarin","[y]",3,0,1,766.9
"601",25,"Male","Mandarin","5Mandarin","[i]",0,0,0,582.7
"602",25,"Male","Mandarin","5Mandarin","[ʉ]",1,0,0,482.4
"603",25,"Male","Mandarin","5Mandarin","[y]",1,0,0,648.4
"604",25,"Male","Mandarin","5Mandarin","[ʉ]",8,0,1,484.5
"611",25,"Male","Mandarin","5Mandarin","[u]",0,0,0,289.4
"612",25,"Male","Mandarin","5Mandarin","[i]",2,0,1,771.7
"618",25,"Male","Mandarin","5Mandarin","[ʉ]",6,0,1,482.1
"619",25,"Male","Mandarin","5Mandarin","[y]",0,0,0,365.9
"620",25,"Male","Mandarin","5Mandarin","[i]",5,0,1,381.9
"623",25,"Male","Mandarin","5Mandarin","[y]",6,0,1,432.5
"624",25,"Male","Mandarin","5Mandarin","[i]",7,0,1,462.3
"631",25,"Male","Mandarin","5Mandarin","[ʉ]",3,0,1,418.9
"637",25,"Male","Mandarin","5Mandarin","[y]",0,0,0,399.3
"651",25,"Male","Mandarin","5Mandarin","[i]",8,0,1,402.1
"653",25,"Male","Mandarin","5Mandarin","[i]",6,0,1,425.6
"662",25,"Male","Mandarin","5Mandarin","[ʉ]",2,0,0,466.6
"666",25,"Male","Mandarin","5Mandarin","[i]",4,0,1,591.3
"673",25,"Male","Mandarin","5Mandarin","[i]",1,0,0,621.3
"676",25,"Male","Mandarin","5Mandarin","[y]",5,0,1,475
"682",25,"Male","Mandarin","5Mandarin","[u]",0,0,0,420.7
"684",25,"Male","Mandarin","5Mandarin","[y]",2,0,0,336.2
"686",25,"Male","Mandarin","5Mandarin","[ʉ]",0,0,0,412
"691",25,"Male","Mandarin","5Mandarin","[y]",4,0,1,890.4
"693",25,"Male","Mandarin","5Mandarin","[ʉ]",4,0,1,489.9
"701",25,"Male","Mandarin","5Mandarin","[i]",3,0,1,426.2
"716",25,"Male","Mandarin","5Mandarin","[ʉ]",7,0,1,513
"722",25,"Male","Mandarin","4Mandarin","[ʉ]",5,0,1,355.61
"727",25,"Male","Mandarin","4Mandarin","[i]",1,0,0,840.77
"729",25,"Male","Mandarin","4Mandarin","[ʉ]",6,0,1,983.13
"736",25,"Male","Mandarin","4Mandarin","[i]",0,0,0,352.02
"746",25,"Male","Mandarin","4Mandarin","[i]",5,0,1,618.27
"750",25,"Male","Mandarin","4Mandarin","[i]",4,0,1,816.84
"751",25,"Male","Mandarin","4Mandarin","[ʉ]",0,0,0,606.17
"759",25,"Male","Mandarin","4Mandarin","[i]",8,0,1,450.87
"764",25,"Male","Mandarin","4Mandarin","[ʉ]",3,0,0,624.23
"771",25,"Male","Mandarin","4Mandarin","[ʉ]",8,0,1,581.85
"772",25,"Male","Mandarin","4Mandarin","[y]",0,0,0,469.88
"773",25,"Male","Mandarin","4Mandarin","[y]",5,0,1,854.84
"778",25,"Male","Mandarin","4Mandarin","[ʉ]",7,0,1,817.39
"782",25,"Male","Mandarin","4Mandarin","[y]",6,0,1,1092.05
"783",25,"Male","Mandarin","4Mandarin","[i]",0,0,0,284.9
"788",25,"Male","Mandarin","4Mandarin","[i]",6,0,1,383.83
"792",25,"Male","Mandarin","4Mandarin","[i]",3,0,1,464.79
"804",25,"Male","Mandarin","4Mandarin","[y]",4,0,1,491.96
"811",25,"Male","Mandarin","4Mandarin","[y]",2,0,0,950.59
"818",25,"Male","Mandarin","4Mandarin","[u]",0,0,0,507.22
"819",25,"Male","Mandarin","4Mandarin","[ʉ]",4,0,1,1068.08
"824",25,"Male","Mandarin","4Mandarin","[ʉ]",0,0,0,942.84
"832",25,"Male","Mandarin","4Mandarin","[y]",0,0,0,477.46
"841",25,"Male","Mandarin","4Mandarin","[u]",0,0,0,281.39
"845",25,"Male","Mandarin","4Mandarin","[ʉ]",2,0,0,717.52
"846",25,"Male","Mandarin","4Mandarin","[i]",2,0,1,771.25
"847",25,"Male","Mandarin","4Mandarin","[y]",3,0,1,469.32
"848",25,"Male","Mandarin","4Mandarin","[i]",7,0,1,1062.79
"854",25,"Male","Mandarin","4Mandarin","[ʉ]",1,0,0,598.06
"864",25,"Male","Mandarin","4Mandarin","[y]",1,0,0,570.43
"865",25,"Female","Mandarin","42Mandarin","[ʉ]",3,0,0,535.4
"866",25,"Female","Mandarin","42Mandarin","[i]",2,0,0,316.7
"868",25,"Female","Mandarin","42Mandarin","[ʉ]",0,0,0,419.6
"873",25,"Female","Mandarin","42Mandarin","[ʉ]",6,0,1,471.8
"876",25,"Female","Mandarin","42Mandarin","[y]",0,0,0,362.1
"889",25,"Female","Mandarin","42Mandarin","[ʉ]",4,0,1,415.9
"890",25,"Female","Mandarin","42Mandarin","[i]",6,0,1,999
"893",25,"Female","Mandarin","42Mandarin","[y]",1,0,0,443.3
"895",25,"Female","Mandarin","42Mandarin","[i]",3,0,1,791.5
"900",25,"Female","Mandarin","42Mandarin","[ʉ]",5,0,1,671.2
"902",25,"Female","Mandarin","42Mandarin","[y]",3,0,1,523.7
"904",25,"Female","Mandarin","42Mandarin","[i]",1,0,0,475
"908",25,"Female","Mandarin","42Mandarin","[i]",4,0,1,705.8
"917",25,"Female","Mandarin","42Mandarin","[u]",0,0,0,336.2
"921",25,"Female","Mandarin","42Mandarin","[ʉ]",0,0,0,401
"924",25,"Female","Mandarin","42Mandarin","[u]",0,0,0,330.1
"931",25,"Female","Mandarin","42Mandarin","[ʉ]",7,0,1,348.5
"932",25,"Female","Mandarin","42Mandarin","[y]",6,0,1,428.9
"935",25,"Female","Mandarin","42Mandarin","[y]",5,0,1,332.6
"940",25,"Female","Mandarin","42Mandarin","[y]",2,0,1,340.4
"948",25,"Female","Mandarin","42Mandarin","[ʉ]",1,0,0,489.6
"951",25,"Female","Mandarin","42Mandarin","[i]",0,0,0,241.6
"966",25,"Female","Mandarin","42Mandarin","[i]",7,0,1,484.5
"967",25,"Female","Mandarin","42Mandarin","[i]",8,0,1,426.1
"971",25,"Female","Mandarin","42Mandarin","[y]",0,0,0,566
"978",25,"Female","Mandarin","42Mandarin","[ʉ]",8,0,1,466.9
"981",25,"Female","Mandarin","42Mandarin","[y]",4,0,1,567.3
"983",25,"Female","Mandarin","42Mandarin","[i]",0,0,0,462
"987",25,"Female","Mandarin","42Mandarin","[i]",5,0,1,376.3
"995",25,"Female","Mandarin","42Mandarin","[ʉ]",2,0,0,501.5
"1017",25,"Male","Mandarin","3Mandarin","[y]",2,0,1,423.6
"1018",25,"Male","Mandarin","3Mandarin","[i]",3,0,1,434.4
"1020",25,"Male","Mandarin","3Mandarin","[y]",0,0,0,355.6
"1021",25,"Male","Mandarin","3Mandarin","[i]",8,0,1,409.2
"1036",25,"Male","Mandarin","3Mandarin","[ʉ]",5,0,1,463.5
"1039",25,"Male","Mandarin","3Mandarin","[u]",0,0,0,337.4
"1041",25,"Male","Mandarin","3Mandarin","[i]",0,0,0,330.4
"1044",25,"Male","Mandarin","3Mandarin","[ʉ]",4,0,1,579.3
